tweet_id	start_pos	end_pos	named_entity_type	tweet	entity
853794876961456128	0	0	No entities found in this tweet	@ForeverPlayerG tem que ser , essa o áudio tava ruim . Próxima faz a farm de iron na live.	No entities found
853794861178376193	6	10	B-person	esse João Guilherme ta mt estranho	João
853794861178376193	11	20	I-person	esse João Guilherme ta mt estranho	Guilherme
853794859978825729	0	0	No entities found in this tweet	não quero ir pra escola	No entities found
853794858095570944	0	0	No entities found in this tweet	@AbioJoao Patrão	No entities found
853794857164341248	0	0	No entities found in this tweet	Preciso acordar mais cedo e ajeitar meu cabelo que tá só a bagaceira	No entities found
853794854203269120	15	22	B-person	#depoisdojogo Piperno se o Trainee R.Ceni passar em qualquer um dos Mata a Mata, ;você vai ter que usar um crachá De Trainee dom que vem!	Piperno
853794854203269120	36	42	B-person	#depoisdojogo Piperno se o Trainee R.Ceni passar em qualquer um dos Mata a Mata, ;você vai ter que usar um crachá De Trainee dom que vem!	R.Ceni
853794844724142084	0	0	No entities found in this tweet	Tenho Msm irmão kkkkk https://t.co/9YkN6SehqG	No entities found
853794835932880896	0	0	No entities found in this tweet	Quero conversar com alguém mano	No entities found
853794832418033664	0	0	No entities found in this tweet	Mas fica em paz! Eu te amo!	No entities found
853794827368091650	0	0	No entities found in this tweet	Um dia tá tudo bem, no outro não e assim vai indo a vida	No entities found
853794823500963840	0	0	No entities found in this tweet	quando se fala mercado sempre tem aquele amigo p te lembrar né incrivel	No entities found
853794822402039808	0	0	No entities found in this tweet	Eu me atrapalhei toda hj	No entities found
853794822116847616	0	0	No entities found in this tweet	Tendeu sim, não te faz kkkk	No entities found
853794818601910272	0	0	No entities found in this tweet	@gustaaps Aah sim uahauahua aha	No entities found
853794817360396288	33	39	B-person	Mais desgraçadas da cabeça pelo justin do q eu e mayli ta pra nascer	justin
853794817360396288	50	55	B-person	Mais desgraçadas da cabeça pelo justin do q eu e mayli ta pra nascer	mayli
853794817201111042	0	0	No entities found in this tweet	@Fariaagabyy Kkkkkkkkkkk, não fala assim kkk	No entities found
853794812390244353	0	0	No entities found in this tweet	@VictroVonDoom POR FAVOR NAO	No entities found
853794807780605952	0	0	No entities found in this tweet	@_ddaninunes Tem seus lados positivos e são bons demais ajejuaheuahe mas poucos	No entities found
853794805704470529	0	0	No entities found in this tweet	@ForeverPlayerG Mais planejamento e conhecimento de configuração	No entities found
853794789602578432	0	0	No entities found in this tweet	que tipo de foto é que tu tá com vergonha? — Olha minha capa sndmdkdmdm https://t.co/K8p9kWkSLi	No entities found
853794785315913728	0	0	No entities found in this tweet	Alguém me apresenta umas musicas ai	No entities found
853794773907513344	0	0	No entities found in this tweet	@gabpradoamorim ps: dois cursos nada a ver um com o outro	No entities found
853794773773275136	0	0	No entities found in this tweet	@jucavencio Essa foto tá parecendo que eu tenho	No entities found
853794771701248000	0	0	No entities found in this tweet	Esse dia foi a maior prova de que eu sou muito tonta	No entities found
853794768572170240	44	47	B-location	A vida é sua, tome, faça algo acontecer. @ São Paulo, Brazil https://t.co/AQbPPCMp2L	São
853794768572170240	48	53	I-location	A vida é sua, tome, faça algo acontecer. @ São Paulo, Brazil https://t.co/AQbPPCMp2L	Paulo
853794768572170240	55	61	B-location	A vida é sua, tome, faça algo acontecer. @ São Paulo, Brazil https://t.co/AQbPPCMp2L	Brazil
853794763782443008	42	46	B-person	#OkOk  Dizem q esse palhaço do filme é o BOZO, mas para evitar problema judicial virou... BINGO! https://t.co/UwpoRloc5t	BOZO
853794758799618048	0	0	No entities found in this tweet	eu sei que não sou escritor e so uma carta de amor de alguém que te quer de verdade 🎵❤	No entities found
853810238767714306	0	0	No entities found in this tweet	555 você é o melhor @ do tt e sempre tem os melhores memes suícidas, agradeço mt IGUAGFKDHAHDF	No entities found
853810236930568192	0	0	No entities found in this tweet	Quero dormir, mas n consigo	No entities found
853810233046650880	0	0	No entities found in this tweet	Mentem achando que eu não sei https://t.co/qRHIsOuz5a	No entities found
853810232660828164	0	0	No entities found in this tweet	A gente tava falando sobre isso agora pouco 😂😂 https://t.co/hDR0mk7p0F	No entities found
853810229884182528	0	0	No entities found in this tweet	@marceloprado eu acho q ele ta usando isso meio q pra blindar o elenco de criticas, e chamar elas pra si mesmo... só acho	No entities found
853810229393448961	0	0	No entities found in this tweet	aceitando presentes de natal ja https://t.co/3nSgYWxDmT	No entities found
853810223097802752	0	0	No entities found in this tweet	Se você já cansou de ser enganada, imagina eu	No entities found
853810218744127490	0	0	No entities found in this tweet	700- não conheço, mas acho mó bonita	No entities found
853810209860591616	45	53	B-person	@flavia586 @nykolevieiraa para de palhaçada flavinha te amo	flavinha
853810189442703362	95	99	B-person	escondeu muito bem a gravidez e a barriga e provavelmente não vai mostrar tão cedo o rosto de Nina	Nina
853810188628971520	0	0	No entities found in this tweet	entao pode me amar https://t.co/Gq832rEkrK	No entities found
853810187832053760	0	0	No entities found in this tweet	odeio quando não sei lidar com as situações	No entities found
853810183641890817	0	0	No entities found in this tweet	Eu sou cara de pau demais kkkkkkkk	No entities found
853810179992944641	0	0	No entities found in this tweet	@DiegoAlmeeidaa1 vem visitar a gnt px	No entities found
853810176725594112	0	0	No entities found in this tweet	Tu vai gamar mesmo que tu seja bandido 🎶	No entities found
853810169821765632	0	0	No entities found in this tweet	Esse pneu da bike, tinha que furar logo hooooooje!!?	No entities found
853810163006009345	0	0	No entities found in this tweet	AA - nunca conversei, dm está aí, parece ser querida e bonita	No entities found
853810155334586374	0	0	No entities found in this tweet	Sim , cinco 😣! https://t.co/9wMKkt2AE0	No entities found
853810152511864833	4	7	B-location	pq foz do igua é assim mano??? tnc que city lixo	foz
853810152511864833	8	10	I-location	pq foz do igua é assim mano??? tnc que city lixo	do
853810152511864833	11	15	I-location	pq foz do igua é assim mano??? tnc que city lixo	igua
853810147961036800	0	0	No entities found in this tweet	Chega de ser idiota	No entities found
853810147533213702	74	76	B-location	@diopacheco HAUAHAUAHAHAHAA eu te dou um autografo no próximo m&amp;g em SP. #pas	SP
853810141740892161	44	48	B-person	"""todos meus cds foram juntos com a enchente Luan, MAS JURO QUE SOU SUA FÃ"" #LuanCuidadoComAEnchente"	 Lua
853810138456743940	0	0	No entities found in this tweet	"Eu tava pensando, ""pq eu não tô sentindo o espírito de pascoa em mim?"" Aí eu percebi que é pq eu sinto Ele vivo todos os dias"	No entities found
853810133708808192	0	0	No entities found in this tweet	Ba tava legal , gostei muito 🙏✌	No entities found
853810133306159104	0	0	No entities found in this tweet	Saudades beijar na boca aos domingos, saudades	No entities found
853810129606672384	0	0	No entities found in this tweet	@mgs_isa Botei os mlk pra assistir no almoço kkkk	No entities found
853810128809844736	0	0	No entities found in this tweet	@leticia_mouzer obrigadaaa! cê que é ❤	No entities found
853810120681299968	0	0	No entities found in this tweet	Só gratidão pelo final de semana que eu tive.. Obrigada Deus,por ter me dado a melhor família 🙏🏽❤️	No entities found
853810115362869248	17	21	B-person	Não sei o que a Gaga fez, mas está bonita na Coachella.	Gaga
853810115362869248	46	55	B-organization	Não sei o que a Gaga fez, mas está bonita na Coachella.	Coachella
853810113169305601	0	0	No entities found in this tweet	@Raycchagas @AnnaSpr4yberry dnv no caso kkkk	No entities found
853810107246927873	0	0	No entities found in this tweet	Kkkkkkkkk que vergonha https://t.co/AnYhBjOeFC	No entities found
